Rk,Player,AV,GS,Season,Age,Team,G,GS,AV,Pos
351,Randy Gregory,6,11,2021,29,DAL,12,11,6,DE
352,Kamu Grugier-Hill,6,14,2021,27,HOU,14,14,6,LB
353,Charles Harris,6,14,2021,26,DET,17,14,6,LB
354,Darrell Henderson,6,10,2021,24,LAR,12,10,6,RB
355,Matt Hennessy,6,17,2021,24,ATL,17,17,6,C
356,Hunter Henry,6,10,2021,27,NWE,17,10,6,TE
357,Taysom Hill,6,9,2021,31,NOR,12,9,6,QB
358,Anthony Hitchens,6,15,2021,29,KAN,15,15,6,LB
359,Jevon Holland,6,13,2021,21,MIA,16,13,6,S
360,DeAndre Hopkins,6,10,2021,29,ARI,10,10,6,WR
361,Tytus Howard,6,15,2021,25,HOU,15,15,6,G
362,Rodney Hudson,6,12,2021,32,ARI,12,12,6,C
363,Robert Hunt,6,17,2021,25,MIA,17,17,6,RG
364,Kareem Jackson,6,15,2021,33,DEN,15,15,6,S
365,Malik Jackson,6,16,2021,31,CLE,16,16,6,DT
366,Myles Jack,6,15,2021,26,JAX,15,15,6,LB
367,Grady Jarrett,6,17,2021,28,ATL,17,17,6,DE
368,Taron Johnson,6,15,2021,25,BUF,16,15,6,LB
369,Deion Jones,6,16,2021,27,ATL,16,16,6,LB
370,Dawson Knox,6,14,2021,25,BUF,15,14,6,TE
371,Damien Lewis,6,13,2021,24,SEA,13,13,6,G
372,Chris Lindstrom,6,17,2021,24,ATL,17,17,6,G
373,Cory Littleton,6,13,2021,28,LVR,17,13,6,LB
374,Roy Lopez,6,15,2021,24,HOU,16,15,6,DT
375,Justin Madubuike,6,11,2021,24,BAL,15,11,6,DE
376,Jacob Martin,6,14,2021,26,HOU,17,14,6,DE
377,Bobby McCain,6,16,2021,28,WAS,17,16,6,S
378,Malik McDowell,6,14,2021,25,CLE,15,14,6,DT
379,Jalen Mills,6,16,2021,27,NWE,16,16,6,CB
380,David Montgomery,6,13,2021,24,CHI,13,13,6,RB
381,Morgan Moses,6,16,2021,30,NYJ,17,16,6,RT
382,C.J. Mosley,6,16,2021,29,NYJ,16,16,6,LB
383,Sam Mustipher,6,17,2021,25,CHI,17,17,6,C
384,Lucas Niang,6,9,2021,23,KAN,12,9,6,T
385,Bilal Nichols,6,15,2021,25,CHI,17,15,6,DE
386,Yosuah Nijman,6,8,2021,26,GNB,17,8,6,LT
387,Uchenna Nwosu,6,15,2021,25,LAC,17,15,6,LB
388,Osa Odighizuwa,6,12,2021,23,DAL,16,12,6,DT
389,Alec Ogletree,6,16,2021,30,CHI,16,16,6,LB
390,David Onyemata,6,11,2021,29,NOR,11,11,6,DT
391,Brandon Parker,6,13,2021,26,LVR,17,13,6,RT
392,Tim Patrick,6,16,2021,28,DEN,16,16,6,WR
393,Jason Peters,6,15,2021,39,CHI,15,15,6,LT
394,Adrian Phillips,6,13,2021,29,NWE,17,13,6,S
395,Harrison Phillips,6,8,2021,25,BUF,14,8,6,DT
396,Jason Pierre-Paul,6,12,2021,33,TAM,12,12,6,LB
397,Mike Purcell,6,10,2021,30,DEN,13,10,6,NT
398,Taylor Rapp,6,17,2021,24,LAR,17,17,6,S
399,D.J. Reed,6,14,2021,25,SEA,14,14,6,CB
400,Dalton Risner,6,15,2021,26,DEN,15,15,6,G
401,A'Shawn Robinson,6,14,2021,26,LAR,17,14,6,DE
402,Cesar Ruiz,6,17,2021,22,NOR,17,17,6,RG
403,Emmanuel Sanders,6,13,2021,34,BUF,14,13,6,WR
404,Joe Schobert,6,15,2021,28,PIT,16,15,6,LB
405,Zach Sieler,6,9,2021,26,MIA,17,9,6,DT
406,Braden Smith,6,11,2021,25,IND,11,11,6,RT
407,Nate Solder,6,16,2021,33,NYG,16,16,6,RT
408,Cameron Sutton,6,16,2021,26,PIT,16,16,6,CB
409,Jawaan Taylor,6,17,2021,24,JAX,17,17,6,RT
410,Adam Thielen,6,13,2021,31,MIN,13,13,6,WR
411,Shaq Thompson,6,13,2021,27,CAR,14,13,6,LB
412,Calvin Throckmorton,6,14,2021,25,NOR,17,14,6,G
413,Jerry Tillery,6,15,2021,25,LAC,16,15,6,DE
414,J.C. Tretter,6,16,2021,30,CLE,16,16,6,C
415,Trai Turner,6,17,2021,28,PIT,17,17,6,RG
416,Nick Vigil,6,12,2021,28,MIN,16,12,6,LB
417,Jimmie Ward,6,16,2021,30,SFO,16,16,6,S
418,Cody Whitehair,6,17,2021,29,CHI,17,17,6,G
419,Connor Williams,6,14,2021,24,DAL,17,14,6,G
420,Jedrick Wills Jr.,6,13,2021,22,CLE,13,13,6,LT
421,Marcus Williams,6,16,2021,25,NOR,16,16,6,S
422,Nick Williams,6,17,2021,31,DET,17,17,6,DE
423,Quinnen Williams,6,15,2021,24,NYJ,15,15,6,DT
424,Deatrich Wise Jr.,6,9,2021,27,NWE,16,9,6,DE
425,Xavier Woods,6,17,2021,26,MIN,17,17,6,S
426,Chris Wormley,6,14,2021,28,PIT,15,14,6,DE
427,Kenny Young,6,13,2021,27,DENLAR,13,13,6,LB
428,Kevin Zeitler,6,17,2021,31,BAL,17,17,6,RG
429,Jamal Adams,5,12,2021,26,SEA,12,12,5,S
430,Nelson Agholor,5,13,2021,28,NWE,15,13,5,WR
431,Kwon Alexander,5,8,2021,27,NOR,12,8,5,LB
432,Adrian Amos,5,17,2021,28,GNB,17,17,5,S
433,Alex Anzalone,5,14,2021,27,DET,14,14,5,LB
434,Genard Avery,5,12,2021,26,PHI,16,12,5,LB
435,Chidobe Awuzie,5,14,2021,26,CIN,14,14,5,CB
436,Saquon Barkley,5,13,2021,24,NYG,13,13,5,RB
437,Odell Beckham Jr.,5,13,2021,29,CLELAR,14,13,5,WR
438,Ike Boettger,5,10,2021,27,BUF,15,10,5,G
439,Bradley Bozeman,5,16,2021,27,BAL,16,16,5,C
440,Garrett Bradbury,5,13,2021,26,MIN,13,13,5,C
441,Bashaud Breeland,5,13,2021,29,MIN,13,13,5,CB
442,Anthony Brown,5,16,2021,28,DAL,16,16,5,CB
443,Baron Browning,5,9,2021,22,DEN,14,9,5,LB
444,Evan Brown,5,12,2021,25,DET,16,12,5,C
445,Trent Brown,5,9,2021,28,NWE,9,9,5,RT
446,Tyson Campbell,5,14,2021,21,JAX,15,14,5,CB
447,Landon Collins,5,13,2021,27,WAS,13,13,5,S
448,La'el Collins,5,10,2021,28,DAL,12,10,5,RT
449,Tyler Conklin,5,15,2021,26,MIN,17,15,5,TE
450,Jared Cook,5,10,2021,34,LAC,16,10,5,TE
451,Zach Cunningham,5,11,2021,27,HOUTEN,14,11,5,LB
452,Christian Darrisaw,5,10,2021,22,MIN,12,10,5,LT
453,Mike Davis,5,8,2021,28,ATL,17,8,5,RB
454,Jack Driscoll,5,9,2021,24,PHI,9,9,5,RG
455,Clyde Edwards-Helaire,5,10,2021,22,KAN,10,10,5,RB
456,Gerald Everett,5,12,2021,27,SEA,15,12,5,TE
457,Folorunso Fatukasi,5,15,2021,26,NYJ,15,15,5,DT
458,Zaire Franklin,5,11,2021,25,IND,17,11,5,LB
459,Jordan Fuller,5,16,2021,23,LAR,16,16,5,S
460,Kendall Fuller,5,16,2021,26,WAS,16,16,5,CB
461,Myles Gaskin,5,10,2021,24,MIA,17,10,5,RB
462,Willie Gay Jr.,5,11,2021,23,KAN,12,11,5,LB
463,William Gholston,5,10,2021,30,TAM,17,10,5,DE
464,Jonathan Greenard,5,12,2021,24,HOU,12,12,5,DE
465,Kendrick Green,5,15,2021,23,PIT,15,15,5,C
466,Bryce Hall,5,17,2021,24,NYJ,17,17,5,CB
467,Johnathan Hankins,5,14,2021,29,LVR,14,14,5,DT
468,Duron Harmon,5,17,2021,30,ATL,17,17,5,S
469,Casey Hayward,5,17,2021,32,LVR,17,17,5,CB
470,Charlie Heck,5,13,2021,25,HOU,15,13,5,RT
471,Will Hernandez,5,17,2021,26,NYG,17,17,5,RG
472,Tyler Higbee,5,15,2021,29,LAR,15,15,5,TE
473,T.J. Hockenson,5,12,2021,24,DET,12,12,5,TE
474,Chuba Hubbard,5,10,2021,22,CAR,17,10,5,RB
475,Marlon Humphrey,5,12,2021,25,BAL,12,12,5,CB
476,Mark Ingram,5,10,2021,32,HOUNOR,14,10,5,RB
477,Derwin James,5,15,2021,25,LAC,15,15,5,S
478,Elgton Jenkins,5,8,2021,26,GNB,8,8,5,LT
479,Jaylon Johnson,5,15,2021,22,CHI,15,15,5,CB
480,John Johnson,5,15,2021,26,CLE,15,15,5,S
481,Brandon Jones,5,13,2021,23,MIA,15,13,5,S
482,Byron Jones,5,16,2021,29,MIA,16,16,5,CB
483,Justin Jones,5,11,2021,25,LAC,11,11,5,DE
484,Marvin Jones,5,16,2021,31,JAX,17,16,5,WR
485,Damontae Kazee,5,15,2021,28,DAL,17,15,5,S
486,Jayron Kearse,5,15,2021,27,DAL,16,15,5,S
487,Christian Kirksey,5,12,2021,29,HOU,13,12,5,LB
488,Cole Kmet,5,17,2021,22,CHI,17,17,5,TE
489,Jarvis Landry,5,12,2021,29,CLE,12,12,5,WR
490,Dexter Lawrence,5,10,2021,24,NYG,16,10,5,DE
491,Allen Lazard,5,13,2021,26,GNB,15,13,5,WR
492,Jourdan Lewis,5,13,2021,26,DAL,16,13,5,DB
493,David Long,5,9,2021,25,TEN,10,9,5,LB
494,Star Lotulelei,5,8,2021,32,BUF,11,8,5,DT
495,Connor McGovern,5,15,2021,28,NYJ,15,15,5,C
496,Steven Means,5,14,2021,31,ATL,14,14,5,LB
497,Patrick Mekari,5,12,2021,24,BAL,13,12,5,RT
498,Trevon Moehrig,5,17,2021,22,LVR,17,17,5,S
499,Fabian Moreau,5,16,2021,27,ATL,16,16,5,CB
500,Matt Nelson,5,11,2021,26,DET,13,11,5,RT
501,Steven Nelson,5,16,2021,28,PHI,16,16,5,CB
502,Derrick Nnadi,5,10,2021,25,KAN,17,10,5,DT
503,Josh Norman,5,14,2021,34,SFO,15,14,5,CB
504,Andrew Norwell,5,17,2021,30,JAX,17,17,5,G
505,Michael Onwenu,5,8,2021,24,NWE,16,8,5,T
506,Amani Oruwariye,5,14,2021,25,DET,14,14,5,CB
507,K.J. Osborn,5,9,2021,24,MIN,17,9,5,WR
508,Donovan Peoples-Jones,5,9,2021,22,CLE,14,9,5,WR
509,Corey Peters,5,11,2021,33,ARI,14,11,5,NT
510,Patrick Peterson,5,13,2021,31,MIN,13,13,5,CB
511,Billy Price,5,15,2021,27,NYG,16,15,5,C
512,Reggie Ragland,5,9,2021,28,NYG,17,9,5,LB
513,Kalif Raymond,5,14,2021,27,DET,16,14,5,WR
514,Troy Reeder,5,10,2021,27,LAR,17,10,5,LB
515,Xavier Rhodes,5,13,2021,31,IND,13,13,5,CB
516,Roy Robertson-Harris,5,13,2021,28,JAX,14,13,5,DE
517,Cam Robinson,5,14,2021,26,JAX,14,14,5,LT
518,James Robinson,5,13,2021,23,JAX,14,13,5,RB
519,Logan Ryan,5,15,2021,30,NYG,15,15,5,S
520,Darnell Savage Jr.,5,17,2021,24,GNB,17,17,5,S
521,Brandon Scherff,5,11,2021,30,WAS,11,11,5,RG
522,Brandon Shell,5,10,2021,29,SEA,10,10,5,RT
523,Dawuane Smoot,5,10,2021,26,JAX,16,10,5,DE
524,L'Jarius Sneed,5,15,2021,24,KAN,15,15,5,CB
525,Brandon Stephens,5,11,2021,24,BAL,17,11,5,S
526,Jaquiski Tartt,5,14,2021,29,SFO,14,14,5,S
527,Andrew Thomas,5,13,2021,22,NYG,13,13,5,LT
528,Jalen Thompson,5,12,2021,23,ARI,17,12,5,S
529,Josh Tupou,5,9,2021,27,CIN,17,9,5,DT
530,Alijah Vera-Tucker,5,16,2021,22,NYJ,16,16,5,G
531,Anthony Walker,5,12,2021,26,CLE,13,12,5,LB
532,Darren Waller,5,11,2021,29,LVR,11,11,5,TE
533,Armon Watts,5,9,2021,25,MIN,17,9,5,DT
534,Pete Werner,5,8,2021,22,NOR,15,8,5,DB
535,Jordan Whitehead,5,14,2021,24,TAM,14,14,5,S
536,DeShawn Williams,5,8,2021,29,DEN,15,8,5,NT
537,Jamaal Williams,5,11,2021,26,DET,13,11,5,RB
538,Quincy Williams,5,13,2021,25,NYJ,16,13,5,LB
539,Marco Wilson,5,13,2021,22,ARI,14,13,5,CB
540,Zach Wilson,5,13,2021,22,NYJ,13,13,5,QB
541,Andrew Wingard,5,15,2021,25,JAX,15,15,5,S
542,Robert Woods,5,9,2021,29,LAR,9,9,5,WR
543,Johnathan Abram,4,14,2021,25,LVR,14,14,4,S
544,Nasir Adderley,4,15,2021,24,LAC,15,15,4,S
545,Hakeem Adeniji,4,9,2021,24,CIN,9,9,4,RG
546,Robby Anderson,4,16,2021,28,CAR,17,16,4,WR
547,Angelo Blackson,4,8,2021,29,CHI,17,8,4,DE
548,K'Lavon Chaisson,4,8,2021,22,JAX,15,8,4,LB
549,Samuel Cosmi,4,9,2021,22,WAS,9,9,4,RT
550,Kamren Curl,4,14,2021,22,WAS,16,14,4,S
551,Dennis Daley,4,9,2021,25,CAR,15,9,4,G
552,Ronald Darby,4,11,2021,28,DEN,11,11,4,CB
553,Carlton Davis,4,10,2021,25,TAM,10,10,4,CB
554,Corey Davis,4,9,2021,26,NYJ,9,9,4,WR
555,Jamin Davis,4,8,2021,23,WAS,16,8,4,LB
556,Michael Davis,4,14,2021,27,LAC,14,14,4,CB
557,Tyeler Davison,4,11,2021,29,ATL,12,11,4,NT
558,Jamel Dean,4,11,2021,25,TAM,15,11,4,CB
559,Taylor Decker,4,9,2021,28,DET,9,9,4,LT
560,Rasul Douglas,4,9,2021,27,GNB,12,9,4,CB
561,Brandin Echols,4,14,2021,24,NYJ,14,14,4,CB
562,Bryan Edwards,4,12,2021,23,LVR,16,12,4,WR
563,Cameron Erving,4,9,2021,29,CAR,9,9,4,LT
564,Morgan Fox,4,9,2021,27,CAR,17,9,4,DE
565,Devonta Freeman,4,8,2021,29,BAL,16,8,4,RB
566,Pat Freiermuth,4,9,2021,23,PIT,16,9,4,TE
567,Kyle Fuller,4,10,2021,29,DEN,16,10,4,CB
568,Kyle Fuller,4,9,2021,27,SEA,14,9,4,C
569,Kristian Fulton,4,13,2021,23,TEN,13,13,4,CB
570,Michael Gallup,4,8,2021,25,DAL,9,8,4,WR
571,Chauncey Gardner-Johnson,4,11,2021,24,NOR,12,11,4,LB
572,Tashaun Gipson,4,12,2021,31,CHI,12,12,4,S
573,Trevis Gipson,4,9,2021,24,CHI,16,9,4,LB
574,Eddie Goldman,4,10,2021,28,CHI,14,10,4,NT
575,Kenny Golladay,4,14,2021,28,NYG,14,14,4,WR
576,Shaquill Griffin,4,14,2021,26,JAX,14,14,4,CB
577,Joe Haden,4,11,2021,32,PIT,12,11,4,CB
578,DaVon Hamilton,4,8,2021,24,JAX,16,8,4,DE
579,Blake Hance,4,8,2021,25,CLE,17,8,4,RT
580,Anthony Harris,4,14,2021,30,PHI,14,14,4,S
581,Ronnie Harrison,4,11,2021,24,CLE,12,11,4,S
582,Will Harris,4,17,2021,26,DET,17,17,4,S
583,Mike Hilton,4,9,2021,27,CIN,17,9,4,DB
584,Amani Hooker,4,12,2021,23,TEN,12,12,4,S
585,Adoree' Jackson,4,12,2021,26,NYG,13,12,4,CB
586,Donte Jackson,4,12,2021,26,CAR,12,12,4,CB
587,Eddie Jackson,4,14,2021,28,CHI,14,14,4,S
588,William Jackson III,4,12,2021,29,WAS,12,12,4,CB
589,Jackrabbit Jenkins,4,13,2021,33,TEN,14,13,4,CB
590,Rayshawn Jenkins,4,14,2021,27,JAX,14,14,4,S
591,Julio Jones,4,10,2021,32,TEN,10,10,4,WR
592,Sidney Jones,4,11,2021,25,SEA,16,11,4,CB
593,Zay Jones,4,9,2021,26,LVR,17,9,4,WR
594,Linval Joseph,4,12,2021,33,LAC,14,12,4,NT
595,Desmond King,4,12,2021,27,HOU,16,12,4,CB
596,Erik McCoy,4,12,2021,24,NOR,12,12,4,C
597,Mike McGlinchey,4,8,2021,26,SFO,8,8,4,RT
598,Rodney McLeod,4,13,2021,31,PHI,13,13,4,S
599,Quinn Meinerz,4,9,2021,23,DEN,15,9,4,C
600,Terrance Mitchell,4,13,2021,29,HOU,14,13,4,CB
601,Emmanuel Moseley,4,11,2021,25,SFO,11,11,4,CB
602,Eric Murray,4,11,2021,28,HOU,16,11,4,S
603,David Njoku,4,11,2021,25,CLE,16,11,4,TE
604,Adetokunbo Ogundeji,4,11,2021,23,ATL,16,11,4,LB
605,Jeremiah Owusu-Koramoah,4,10,2021,22,CLE,14,10,4,LB
606,DeVante Parker,4,8,2021,28,MIA,10,8,4,WR
607,Zach Pascal,4,13,2021,27,IND,16,13,4,WR
608,Ethan Pocic,4,10,2021,26,SEA,13,10,4,C
609,Ben Powers,4,12,2021,25,BAL,13,12,4,G
610,Ryan Ramczyk,4,10,2021,27,NOR,10,10,4,RT
611,Jalen Reeves-Maybin,4,11,2021,26,DET,15,11,4,LB
612,Justin Reid,4,13,2021,24,HOU,13,13,4,S
613,Max Scharping,4,11,2021,25,HOU,17,11,4,RG
614,Andrew Sendejo,4,10,2021,34,IND,12,10,4,S
615,Laviska Shenault Jr.,4,10,2021,23,JAX,16,10,4,WR
616,Alex Singleton,4,8,2021,28,PHI,16,8,4,LB
617,Matt Skura,4,14,2021,28,NYG,14,14,4,G
618,Eric Stokes,4,14,2021,22,GNB,16,14,4,CB
619,Chandon Sullivan,4,10,2021,25,GNB,17,10,4,DB
620,Montez Sweat,4,10,2021,25,WAS,10,10,4,DE
621,Sione Takitaki,4,8,2021,26,CLE,15,8,4,LB
622,Teair Tart,4,10,2021,24,TEN,11,10,4,NT
623,Juan Thornhill,4,12,2021,26,KAN,17,12,4,S
624,C.J. Uzomah,4,16,2021,28,CIN,16,16,4,TE
625,Greg Van Roten,4,10,2021,31,NYJ,17,10,4,RG
626,Kindle Vildor,4,12,2021,24,CHI,17,12,4,CB
627,Tracy Walker,4,15,2021,26,DET,15,15,4,S
628,Charvarius Ward,4,12,2021,25,KAN,13,12,4,CB
629,Tre'Davious White,4,11,2021,26,BUF,11,11,4,CB
630,Darious Williams,4,13,2021,28,LAR,14,13,4,CB
631,Khari Willis,4,10,2021,25,IND,11,10,4,S
632,K.J. Wright,4,8,2021,32,LVR,17,8,4,LB
633,Chase Young,4,9,2021,22,WAS,9,9,4,DE
634,Terron Armstead,3,8,2021,30,NOR,8,8,3,LT
635,Ben Bartch,3,11,2021,23,JAX,15,11,3,RG
636,Larry Borom,3,8,2021,22,CHI,10,8,3,RT
637,Justin Britt,3,11,2021,30,HOU,11,11,3,C
638,Sean Murphy-Bunting,3,8,2021,24,TAM,9,8,3,CB
639,Juston Burris,3,8,2021,28,CAR,10,8,3,S
640,Geron Christian,3,8,2021,25,HOU,14,8,3,LT
641,Keelan Cole,3,11,2021,28,NYJ,15,11,3,WR
642,Nico Collins,3,8,2021,22,HOU,14,8,3,WR
643,Ashtyn Davis,3,10,2021,25,NYJ,13,10,3,S
644,Michael Deiter,3,8,2021,25,MIA,8,8,3,C
645,Kevin Dotson,3,9,2021,25,PIT,9,9,3,G
646,Pat Elflein,3,9,2021,27,CAR,9,9,3,C
647,Evan Engram,3,12,2021,27,NYG,15,12,3,TE
648,Brandon Facyson,3,9,2021,27,LVR,12,9,3,CB
649,Rashad Fenton,3,8,2021,24,KAN,14,8,3,CB
650,Chris Harris Jr.,3,11,2021,32,LAC,14,11,3,DB
651,Erik Harris,3,12,2021,31,ATL,12,12,3,S
652,Myles Hartsfield,3,9,2021,24,CAR,10,9,3,DE
653,Akiem Hicks,3,9,2021,32,CHI,9,9,3,DE
654,T.Y. Hilton,3,9,2021,32,IND,10,9,3,WR
655,Nate Hobbs,3,9,2021,22,LVR,16,9,3,DB
656,Austin Hooper,3,16,2021,27,CLE,16,16,3,TE
657,Adam Humphries,3,11,2021,28,WAS,17,11,3,WR
658,Jerry Jacobs,3,9,2021,24,DET,13,9,3,CB
659,Michael Jordan,3,10,2021,23,CAR,11,10,3,G
660,Kyle Juszczyk,3,16,2021,30,SFO,17,16,3,FB
661,Kingsley Keke,3,8,2021,25,GNB,12,8,3,DE
662,Dean Marlowe,3,9,2021,29,DET,16,9,3,DB
663,Justin McCray,3,8,2021,29,HOU,14,8,3,RG
664,John Miller,3,10,2021,28,CAR,10,10,3,RG
665,Foster Moreau,3,11,2021,24,LVR,17,11,3,TE
666,Greg Newsome II,3,11,2021,21,CLE,12,11,3,CB
667,Matt Paradis,3,9,2021,32,CAR,9,9,3,C
668,Jordan Phillips,3,8,2021,29,ARI,9,8,3,DE
669,Michael Pierce,3,8,2021,29,MIN,8,8,3,DT
670,Jalen Reagor,3,13,2021,23,PHI,17,13,3,WR
671,Allen Robinson,3,11,2021,28,CHI,12,11,3,WR
672,Chase Roullier,3,8,2021,28,WAS,8,8,3,C
673,Asante Samuel Jr.,3,12,2021,22,LAC,12,12,3,CB
674,Tyler Shatley,3,8,2021,30,JAX,17,8,3,C
675,Jonnu Smith,3,11,2021,26,NWE,16,11,3,TE
676,Durham Smythe,3,12,2021,26,MIA,17,12,3,TE
677,Freddie Swain,3,8,2021,23,SEA,17,8,3,WR
678,Tavierre Thomas,3,8,2021,25,HOU,17,8,3,DB
679,Sammy Watkins,3,9,2021,28,BAL,13,9,3,WR
680,Greedy Williams,3,8,2021,24,CLE,16,8,3,CB
681,K'Waun Williams,3,8,2021,30,SFO,14,8,3,DB
682,Rock Ya-Sin,3,8,2021,25,IND,13,8,3,CB
683,Olamide Zaccheaus,3,8,2021,24,ATL,17,8,3,WR
684,John Bates,2,8,2021,24,WAS,17,8,2,TE
685,Chris Conley,2,10,2021,29,HOU,16,10,2,WR
686,Will Dissly,2,14,2021,25,SEA,15,14,2,TE
687,Ryan Griffin,2,12,2021,31,NYJ,14,12,2,TE
688,Marcedes Lewis,2,17,2021,37,GNB,17,17,2,TE
689,Donald Parham,2,9,2021,24,LAC,14,9,2,TE
690,Demarcus Robinson,2,10,2021,27,KAN,17,10,2,WR
691,Kyle Rudolph,2,13,2021,32,NYG,16,13,2,TE
692,Geoff Swaim,2,16,2021,28,TEN,16,16,2,TE
693,Adam Trautman,2,10,2021,24,NOR,13,10,2,TE
694,Pharaoh Brown,1,12,2021,27,HOU,15,12,1,TE
695,Zach Gentry,1,12,2021,25,PIT,17,12,1,TE
696,C.J. Ham,1,8,2021,28,MIN,17,8,1,FB
697,O.J. Howard,1,9,2021,27,TAM,17,9,1,TE
698,Jesse James,1,9,2021,27,CHI,14,9,1,TE
699,MyCole Pruitt,1,9,2021,29,TEN,16,9,1,TE
700,Drew Sample,1,8,2021,25,CIN,17,8,1,TE
701,Keith Smith,1,8,2021,29,ATL,17,8,1,FB
702,Ian Thomas,1,13,2021,25,CAR,17,13,1,TE
703,Tommy Tremble,1,11,2021,21,CAR,16,11,1,TE
704,Antony Auclair,0,13,2021,28,HOU,16,13,0,TE
705,Chris Manhertz,0,10,2021,29,JAX,17,10,0,TE
706,Patrick Ricard,0,11,2021,27,BAL,13,11,0,FB